context,prefix,namespace,status
prefixcc,pim,http://www.w3.org/ns/pim/space#,canonical
prefixcc,ass,http://uptheasset.org/ontology#,canonical
prefixcc,sit,http://www.ontologydesignpatterns.org/cp/owl/situation.owl#,canonical
prefixcc,purl,http://www.purl.org/,canonical
prefixcc,resist,http://www.rkbexplorer.com/ontologies/resist#,canonical
prefixcc,nt,http://ns.inria.fr/nicetag/2010/09/09/voc#,canonical
prefixcc,scot,http://rdfs.org/scot/ns#,canonical
prefixcc,ontolex,http://www.w3.org/ns/lemon/ontolex#,canonical
prefixcc,omb,http://purl.org/ontomedia/ext/common/being#,canonical
prefixcc,biol,http://purl.org/NET/biol/ns#,canonical
prefixcc,cidoc,http://www.cidoc-crm.org/cidoc-crm/,namespace_alias
prefixcc,dbnary,http://kaiko.getalp.org/dbnary#,canonical
prefixcc,cube,https://cube.link/,canonical
prefixcc,label,http://purl.org/net/vocab/2004/03/label#,canonical
prefixcc,sdl,http://purl.org/vocab/riro/sdl#,canonical
prefixcc,xkos,http://rdf-vocabulary.ddialliance.org/xkos#,canonical
prefixcc,link,http://www.w3.org/2007/ont/link#,canonical
prefixcc,protege,http://protege.stanford.edu/system#,canonical
prefixcc,spl,http://spinrdf.org/spl#,canonical
prefixcc,xl,http://langegger.at/xlwrap/vocab#,canonical
prefixcc,overheid,http://standaarden.overheid.nl/owms/,canonical
prefixcc,mit,http://purl.org/ontology/mo/mit#,canonical
prefixcc,agg,http://purl.org/twc/health/vocab/aggregate/,canonical
prefixcc,gsp,http://www.opengis.net/ont/geosparql#,namespace_alias
prefixcc,bag,https://bag2.basisregistraties.overheid.nl/bag/def/,canonical
prefixcc,oc,http://opencoinage.org/rdf/,canonical
prefixcc,api,http://purl.org/linked-data/api/vocab#,canonical
prefixcc,wgs84,http://www.w3.org/2003/01/geo/wgs84_pos#,namespace_alias
prefixcc,wv,http://vocab.org/waiver/terms/,canonical
prefixcc,sco,http://purl.org/ontology/sco#,canonical
prefixcc,disco,http://rdf-vocabulary.ddialliance.org/discovery#,canonical
prefixcc,umbel,http://umbel.org/umbel#,canonical
prefixcc,fresnel,http://www.w3.org/2004/09/fresnel#,canonical
prefixcc,biocore,http://bio2rdf.org/core#,canonical
prefixcc,inno,http://purl.org/innovation/ns#,canonical
prefixcc,ddc,http://purl.org/NET/decimalised#,canonical
prefixcc,fed,http://www.openrdf.org/config/sail/federation#,canonical
prefixcc,food,http://purl.org/foodontology#,canonical
prefixcc,prj,http://purl.org/stuff/project/,canonical
prefixcc,edam,http://edamontology.org/,canonical
prefixcc,npg,http://ns.nature.com/terms/,canonical
prefixcc,dcatapit,http://dati.gov.it/onto/dcatapit#,canonical
prefixcc,myspo,http://purl.org/ontology/myspace#,namespace_alias
prefixcc,uco,http://purl.org/uco/ns#,canonical
prefixcc,lime,http://www.w3.org/ns/lemon/lime#,canonical
prefixcc,swp,http://www.w3.org/2004/03/trix/swp-2/,canonical
prefixcc,lx,http://purl.org/NET/lx#,canonical
prefixcc,fec,http://www.rdfabout.com/rdf/schema/usfec/,canonical
prefixcc,rdau,http://rdaregistry.info/Elements/u/,canonical
prefixcc,exterms,http://www.example.org/terms/,canonical
prefixcc,gpt,http://purl.org/vocab/riro/gpt#,canonical
prefixcc,lfn,http://www.dotnetrdf.org/leviathan#,canonical
prefixcc,code,http://telegraphis.net/ontology/measurement/code#,canonical
prefixcc,gso,http://www.w3.org/2006/gen/ont#,canonical
prefixcc,acco,http://purl.org/acco/ns#,canonical
prefixcc,dctype,http://purl.org/dc/dcmitype/,namespace_alias
prefixcc,oauth,http://demiblog.org/vocab/oauth#,canonical
prefixcc,pgterms,http://www.gutenberg.org/2009/pgterms/,canonical
prefixcc,audio,http://purl.org/media/audio#,canonical
prefixcc,granatum,http://chem.deri.ie/granatum/,canonical
prefixcc,ref,http://purl.org/vocab/relationship/,namespace_alias
prefixcc,efo,http://www.ebi.ac.uk/efo/,canonical
prefixcc,es,http://eulersharp.sourceforge.net/2003/03swap/log-rules#,namespace_alias
prefixcc,so,http://schema.org/,namespace_alias
prefixcc,politico,http://www.rdfabout.com/rdf/schema/politico/,canonical
prefixcc,meteo,http://purl.org/ns/meteo#,canonical
prefixcc,faldo,http://biohackathon.org/resource/faldo#,canonical
prefixcc,res,http://dbpedia.org/resource/,namespace_alias
prefixcc,blt,http://www.bl.uk/schemas/bibliographic/blterms#,canonical
prefixcc,lgdo,http://linkedgeodata.org/ontology/,canonical
prefixcc,seas,https://w3id.org/seas/,canonical
prefixcc,rnews,http://iptc.org/std/rNews/2011-10-07#,canonical
prefixcc,xen,http://buzzword.org.uk/rdf/xen#,canonical
prefixcc,doac,http://ramonantonio.net/doac/0.1/#,canonical
prefixcc,library,http://purl.org/library/,canonical
prefixcc,ps,https://w3id.org/payswarm#,canonical
prefixcc,tmo,http://www.semanticdesktop.org/ontologies/2008/05/20/tmo#,canonical
